Sample name                                                           Alias                          xsec   sumw 
WZ_TuneCUETP8M1_13TeV-pythia8                                         WZ_pythia                     47.13  (0.4300)
ZGTo2LG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                       ZGTo2LG                       117.864  (0.3767)
TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8          TTLJ_powheg                   365.34  (0.0873)
VBF_HToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8                     VBF_HToZZTo4L                 0.001034  (0.0001)
WWTo2L2Nu_DoubleScattering_13TeV-pythia8                              WWTo2L2Nu_DS                  0.1703  (0.0062)
QCD_Pt-120to170_EMEnriched_TuneCUETP8M1_13TeV_pythia8                 QCD_Pt-120to170_EMEnriched    62964.  (29.2230)
WZTo3LNu_TuneCUETP8M1_13TeV-powheg-pythia8                            WZTo3LNu_powheg               4.42965  (0.0081)
ST_t-channel_antitop_4f_inclusiveDecays_13TeV_PSweights-powhegV2-madspinSingleTop_tch_antitop_Incl    80.95  (0.0744)
WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                     WJets_MG                      61526.7  (25.8165)
WW_TuneCUETP8M1_13TeV-pythia8                                         WW_pythia                     118.7  (0.5423)
ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8                               ZZZ                           0.01398  (0.0024)
ttHToNonbb_M125_TuneCP5_13TeV-powheg-pythia8                          ttHToNonbb                    0.2151  (0.0008)
ttZJets_13TeV_madgraphMLM-pythia8                                     ttZ                           0.5407  (0.0020)
QCD_Pt-30to50_EMEnriched_TuneCUETP8M1_13TeV_pythia8                   QCD_Pt-30to50_EMEnriched      9928000.  (31460.5205)
ST_t-channel_top_4f_inclusiveDecays_13TeV_PSweights-powhegV2-madspin  SingleTop_tch_top_Incl        136.02  (0.0729)
VHToNonbb_M125_13TeV_amcatnloFXFX_madspin_pythia8                     VHToNonbb                     0.9561  (0.0756)
WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8                            WWW                           0.2086  (0.0361)
WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8                               WZZ                           0.05565  (0.0094)
WpWpJJ_EWK_TuneCUETP8M1_13TeV-madgraph-pythia8                        WpWp_EWK                      0.02695  (0.0066)
WpWpJJ_QCD_TuneCUETP8M1_13TeV-madgraph-pythia8                        WpWp_QCD                      0.02612  (0.0065)
QCD_Pt-170to300_EMEnriched_TuneCUETP8M1_13TeV_pythia8                 QCD_Pt-170to300_EMEnriched    18810.  (59.4446)
QCD_Pt-50to80_EMEnriched_TuneCUETP8M1_13TeV_pythia8                   QCD_Pt-50to80_EMEnriched      2890800.  (2302.4600)
WGToLNuG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                      WGToLNuG                      489  (1.0108)
ST_s-channel_4f_leptonDecays_13TeV_PSweights-amcatnlo-pythia8         SingleTop_sch_Lep             3.36  (0.0197)
ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1          SingleTop_tW_top_NoFullyHad   19.20  (0.0807)
GluGluToContinToZZTo4e_13TeV_MCFM701_pythia8                          ggZZTo4e                      0.002703  (0.0001)
TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8          ttWToLNu                      0.2043  (0.0027)
ZZTo4L_13TeV_powheg_pythia8_ext1                                      ZZTo4L_powheg                 1.256  (0.0005)
DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8            DYJets10to50_MG               18610  (19.3281)
TGJets_TuneCUETP8M1_13TeV_amcatnlo_madspin_pythia8                    TG                            2.967  (0.2936)
WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8                               WWZ                           0.1651  (0.0272)
GluGluHToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8                   ggHToZZTo4L                   0.01212  (0.0004)
WWToLNuQQ_13TeV-powheg                                                WWToLNuQQ_powheg              49.997  (0.2107)
QCD_Pt-20to30_EMEnriched_TuneCUETP8M1_13TeV_pythia8                   QCD_Pt-20to30_EMEnriched      5352960.  (21124.5416)
DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8               DYJets                        6077.22  (2.7388)
TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8               TTLL_powheg                   88.29  (0.0407)
ZZ_TuneCUETP8M1_13TeV-pythia8                                         ZZ_pythia                     16.523  (0.3031)
ST_tW_antitop_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1      SingleTop_tW_antitop_NoFullyHad19.20  (0.0807)
TTGJets_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8               TTG                           3.795  (0.0290)
GluGluToContinToZZTo2e2tau_13TeV_MCFM701_pythia8                      ggZZTo2e2tau                  0.005423  (0.0004)
GluGluToContinToZZTo2e2mu_13TeV_MCFM701_pythia8                       ggZZTo2e2mu                   0.005423  (0.0001)
WWTo2L2Nu_13TeV-powheg                                                WWTo2L2Nu_powheg              12.178  (0.2222)
QCD_Pt-300toInf_EMEnriched_TuneCUETP8M1_13TeV_pythia8                 QCD_Pt-300toInf_EMEnriched    1350.  (6.6710)
QCD_Pt-80to120_EMEnriched_TuneCUETP8M1_13TeV_pythia8                  QCD_Pt-80to120_EMEnriched     350000.  (164.0677)
